debug | INFO flwr 2024-07-13 02:15:04,230 | app.py:193 | Starting Flower simulation, config: num_rounds=7, no round_timeout
debug | INFO flwr 2024-07-13 02:15:08,008 | app.py:228 | Flower VCE: Ray initialized with resources: {'node:__internal_head__': 1.0, 'CPU': 13.0, 'object_store_memory': 13377972633.0, 'memory': 26755945268.0, 'node:172.17.0.3': 1.0, 'accelerator_type:G': 1.0, 'GPU': 1.0}
debug | INFO flwr 2024-07-13 02:15:08,008 | app.py:234 | Optimize your simulation with Flower VCE: https://flower.ai/docs/framework/how-to-run-simulations.html
debug | INFO flwr 2024-07-13 02:15:08,008 | app.py:257 | Flower VCE: Resources for each Virtual Client: {'num_cpus': 1, 'num_gpus': 1.0}
debug | INFO flwr 2024-07-13 02:15:08,026 | app.py:303 | Flower VCE: Creating VirtualClientEngineActorPool with 1 actors
debug | INFO flwr 2024-07-13 02:15:08,026 | server.py:92 | [INIT]
debug | INFO flwr 2024-07-13 02:15:08,026 | server.py:279 | Requesting initial parameters from one random client
debug | INFO flwr 2024-07-13 02:15:24,891 | server.py:286 | Received initial parameters from one random client
debug | INFO flwr 2024-07-13 02:15:24,891 | server.py:94 | Evaluating initial global parameters
debug | INFO flwr 2024-07-13 02:15:24,891 | server.py:110 | 
debug | INFO flwr 2024-07-13 02:15:24,891 | server.py:111 | [ROUND 1]
debug | INFO flwr 2024-07-13 02:15:24,891 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
debug | INFO flwr 2024-07-13 02:19:01,768 | server.py:238 | aggregate_fit: received 5 results and 0 failures
debug | WARNING flwr 2024-07-13 02:19:02,747 | fedavg.py:252 | No fit_metrics_aggregation_fn provided
debug | INFO flwr 2024-07-13 02:19:03,182 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
debug | INFO flwr 2024-07-13 02:19:19,234 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
debug | WARNING flwr 2024-07-13 02:19:19,234 | fedavg.py:283 | No evaluate_metrics_aggregation_fn provided
debug | INFO flwr 2024-07-13 02:19:19,235 | server.py:110 | 
debug | INFO flwr 2024-07-13 02:19:19,235 | server.py:111 | [ROUND 2]
debug | INFO flwr 2024-07-13 02:19:19,235 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
debug | INFO flwr 2024-07-13 02:22:51,788 | server.py:238 | aggregate_fit: received 5 results and 0 failures
debug | INFO flwr 2024-07-13 02:22:53,108 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
debug | INFO flwr 2024-07-13 02:23:10,220 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
debug | INFO flwr 2024-07-13 02:23:10,220 | server.py:110 | 
